model,selection_rule,selected_threshold,youden_j_threshold,youden_j_value,youden_j_f1,youden_j_mcc,max_f1_threshold,max_f1_value,max_f1_mcc,selected_f1,selected_mcc,n_oof
LR,max_f1,0.5123483815886036,0.8311511242564544,0.7667895167895168,0.8907014681892332,0.7063506826910013,0.5123483815886036,0.9267563527653214,0.7391246913658782,0.9267563527653214,0.7391246913658782,465
RFC,max_f1,0.49,0.7042613659920202,0.8555828555828556,0.9335443037974683,0.8051587512753052,0.49,0.945619335347432,0.8114863636932268,0.945619335347432,0.8114863636932268,465
SVC,max_f1,0.540580916395134,0.5944647796934894,0.8141550641550641,0.9457831325301205,0.8104940199983098,0.540580916395134,0.9461077844311377,0.808753248151282,0.9461077844311377,0.808753248151282,465
XGBC,max_f1,0.21986740827560425,0.6918449401855469,0.8172945672945673,0.9422492401215806,0.8033078225708112,0.21986740827560425,0.9425625920471281,0.7893796838721,0.9425625920471281,0.7893796838721,465
ETC,max_f1,0.5269738786969822,0.7596869711600743,0.8255528255528256,0.9163987138263666,0.7674475345335714,0.5269738786969822,0.9424242424242425,0.8021167376774666,0.9424242424242425,0.8021167376774666,465
MLP,max_f1,0.9203109741210938,0.9734413027763367,0.8598826098826099,0.9440993788819876,0.8237732654704003,0.9203109741210938,0.9478527607361962,0.8278730279517729,0.9478527607361962,0.8278730279517729,465
