fold,model,split,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,ef1,ef5
1,LR,val,0.782608695652174,0.6666666666666666,1.0,0.8,0.6405126152203485,0.9692307692307691,0.9669230769230769,2.3000000000000003,2.3000000000000003
1,LR,train,0.9728506787330317,0.9814241486068112,0.9814241486068112,0.9814241486068112,0.9310039805395842,0.9968649998699171,0.9988966083480701,1.368421052631579,1.368421052631579
1,RFC,val,0.9130434782608695,0.9,0.9,0.9,0.823076923076923,0.9730769230769231,0.9622222222222221,2.3000000000000003,2.3000000000000003
1,RFC,train,0.997737556561086,1.0,0.9969040247678018,0.9984496124031008,0.9942818972645887,0.999986991700705,0.9999904445208883,1.368421052631579,1.368421052631579
1,SVC,val,0.8695652173913043,0.7692307692307693,1.0,0.8695652173913043,0.7692307692307693,0.9692307692307692,0.9622222222222222,2.3000000000000003,2.3000000000000003
1,SVC,train,0.9773755656108597,0.9815384615384616,0.9876160990712074,0.9845679012345679,0.9422595002162103,0.9976194812290241,0.9991674143079985,1.368421052631579,1.368421052631579
1,XGBC,val,0.782608695652174,0.7272727272727273,0.8,0.7619047619047619,0.5649019553110248,0.9538461538461539,0.951923076923077,2.3000000000000003,2.3000000000000003
1,XGBC,train,0.997737556561086,1.0,0.9969040247678018,0.9984496124031008,0.9942818972645887,0.999986991700705,0.9999904445208883,1.368421052631579,1.368421052631579
1,ETC,val,0.8695652173913043,0.8888888888888888,0.8,0.8421052631578947,0.7344646618036428,0.9615384615384615,0.9558119658119659,2.3000000000000003,2.3000000000000003
1,ETC,train,0.997737556561086,1.0,0.9969040247678018,0.9984496124031008,0.9942818972645887,0.999986991700705,0.9999904445208883,1.368421052631579,1.368421052631579
1,MLP,val,0.8260869565217391,0.75,0.9,0.8181818181818182,0.6641414880007994,0.9615384615384615,0.9587412587412589,2.3000000000000003,2.3000000000000003
1,MLP,train,0.995475113122172,0.9938461538461538,1.0,0.9969135802469136,0.9885053652574968,0.9999609751021152,0.9999808594582498,1.368421052631579,1.368421052631579
2,LR,val,0.98,0.9788359788359788,1.0,0.9893048128342246,0.8472384854020647,0.9863063063063064,0.9988281667431176,1.081081081081081,1.081081081081081
2,LR,train,0.9622641509433962,0.96,0.972972972972973,0.9664429530201343,0.9234524731440025,0.9948602448602448,0.9962058342581109,1.7905405405405406,1.7905405405405406
2,RFC,val,0.985,0.9840425531914894,1.0,0.9919571045576407,0.8872621047656615,0.9981981981981982,0.9998540548321394,1.081081081081081,1.081081081081081
2,RFC,train,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.7905405405405406,1.7905405405405406
2,SVC,val,0.985,0.9840425531914894,1.0,0.9919571045576407,0.8872621047656615,0.9290090090090091,0.9925998272816616,1.081081081081081,1.081081081081081
2,SVC,train,0.969811320754717,0.9666666666666667,0.9797297297297297,0.9731543624161074,0.9387854872657544,0.9952067452067451,0.9967685732616953,1.7905405405405406,1.7905405405405406
2,XGBC,val,0.98,0.9788359788359788,1.0,0.9893048128342246,0.8472384854020647,0.9933333333333334,0.9994308378802292,1.081081081081081,1.081081081081081
2,XGBC,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7905405405405406,1.7905405405405406
2,ETC,val,0.985,0.9840425531914894,1.0,0.9919571045576407,0.8872621047656615,0.941981981981982,0.9886065382683714,1.081081081081081,1.081081081081081
2,ETC,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7905405405405406,1.7905405405405406
2,MLP,val,0.98,0.9788359788359788,1.0,0.9893048128342246,0.8472384854020647,0.9927927927927929,0.9993945333492298,1.081081081081081,1.081081081081081
2,MLP,train,0.9962264150943396,0.9932885906040269,1.0,0.9966329966329966,0.9923703666124296,1.0,1.0,1.7905405405405406,1.7905405405405406
3,LR,val,0.8023255813953488,0.8448275862068966,0.8596491228070176,0.8521739130434782,0.5541870960927139,0.8457350272232305,0.9147280390418766,1.5087719298245614,1.5087719298245614
3,LR,train,0.9472295514511874,0.9671532846715328,0.9601449275362319,0.9636363636363636,0.8675633247072837,0.9899746728577459,0.9964301456076264,1.3731884057971013,1.3731884057971013
3,RFC,val,0.8372093023255814,0.9056603773584906,0.8421052631578947,0.8727272727272727,0.6510529174242329,0.9328493647912885,0.9677704736595475,1.5087719298245614,1.5087719298245614
3,RFC,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3731884057971013,1.3731884057971013
3,SVC,val,0.8255813953488372,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.6212708874783615,0.9062310949788264,0.9461580577927573,1.5087719298245614,1.5087719298245614
3,SVC,train,0.9630606860158312,0.9712230215827338,0.9782608695652174,0.9747292418772563,0.9061866399246563,0.9934923315041508,0.9977309704045312,1.3731884057971013,1.3731884057971013
3,XGBC,val,0.8023255813953488,0.8703703703703703,0.8245614035087719,0.8468468468468469,0.5703858433610861,0.9189352692075015,0.959067446213627,1.5087719298245614,1.5087719298245614
3,XGBC,train,0.9973614775725593,0.9963898916967509,1.0,0.9981916817359855,0.9933358965767071,0.9999472351203039,0.9999737924032281,1.3731884057971013,1.3731884057971013
3,ETC,val,0.8255813953488372,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.6212708874783615,0.9056261343012704,0.9523163429929267,1.5087719298245614,1.5087719298245614
3,ETC,train,0.9736147757255936,0.9818840579710145,0.9818840579710145,0.9818840579710145,0.9333403686506262,0.9969924018573237,0.9989081775328723,1.3731884057971013,1.3731884057971013
3,MLP,val,0.8488372093023255,0.8666666666666667,0.9122807017543859,0.8888888888888888,0.6551142010904986,0.9395039322444041,0.9704714838147068,1.5087719298245614,1.5087719298245614
