model,accuracy_mean,accuracy_std,accuracy_mean_std,precision_mean,precision_std,precision_mean_std,recall_mean,recall_std,recall_mean_std,f1_mean,f1_std,f1_mean_std,mcc_mean,mcc_std,mcc_mean_std,roc_auc_mean,roc_auc_std,roc_auc_mean_std,pr_auc_mean,pr_auc_std,pr_auc_mean_std,ef1_mean,ef1_std,ef1_mean_std,ef5_mean,ef5_std,ef5_mean_std
LR,0.8497267759562841,0.056127427825612405,0.8497 ± 0.0561,0.8505133134631347,0.02025788942130955,0.8505 ± 0.0203,0.9437751004016065,0.07116483994646322,0.9438 ± 0.0712,0.8940364092906465,0.04295996537854796,0.8940 ± 0.0430,0.6534780938606309,0.13309647168212171,0.6535 ± 0.1331,0.9293069714756462,0.05924472865917902,0.9293 ± 0.0592,0.9646041406209003,0.03118381939810934,0.9646 ± 0.0312,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000
RFC,0.866120218579235,0.05847249879517132,0.8661 ± 0.0585,0.919646229000938,0.007561648383419281,0.9196 ± 0.0076,0.8795180722891566,0.08743590785974795,0.8795 ± 0.0874,0.8971185270512132,0.04984654450741562,0.8971 ± 0.0498,0.7112674197360693,0.10714120106374099,0.7113 ± 0.1071,0.9454227165070539,0.036314996446457685,0.9454 ± 0.0363,0.9771740142281725,0.015283636159293285,0.9772 ± 0.0153,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000
SVC,0.8934426229508198,0.041795241914694956,0.8934 ± 0.0418,0.9304293236886981,0.009246352583598691,0.9304 ± 0.0092,0.9116465863453814,0.06550002582449836,0.9116 ± 0.0655,0.9196956889264581,0.034613715020994404,0.9197 ± 0.0346,0.7649680011298345,0.07966580846663773,0.7650 ± 0.0797,0.9648851817526517,0.008048284779111747,0.9649 ± 0.0080,0.9838812797670992,0.004558502739268629,0.9839 ± 0.0046,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000
XGBC,0.8551912568306012,0.039215027580347867,0.8552 ± 0.0392,0.8872167966616417,0.04767173271342802,0.8872 ± 0.0477,0.9076305220883535,0.06324504316475352,0.9076 ± 0.0632,0.8946239602655924,0.029086652334382426,0.8946 ± 0.0291,0.6708726194837423,0.09159713651841735,0.6709 ± 0.0916,0.957213469261662,0.023638881929633745,0.9572 ± 0.0236,0.9819049080893322,0.01041268405713516,0.9819 ± 0.0104,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000
ETC,0.8989071038251367,0.03301378681309996,0.8989 ± 0.0330,0.9346976918045042,0.012968945920893298,0.9347 ± 0.0130,0.9156626506024096,0.05205414215588641,0.9157 ± 0.0521,0.9242356551366231,0.027039450678018887,0.9242 ± 0.0270,0.7752462540712867,0.06426783650437895,0.7752 ± 0.0643,0.9634950056636803,0.018344330908619273,0.9635 ± 0.0183,0.9834389452282709,0.008480828945858407,0.9834 ± 0.0085,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000
MLP,0.9016393442622951,0.0354138835978572,0.9016 ± 0.0354,0.9394269339885266,0.0219596639473266,0.9394 ± 0.0220,0.9156626506024096,0.06143397004328658,0.9157 ± 0.0614,0.9258984539755951,0.02944052538487234,0.9259 ± 0.0294,0.7847664710415178,0.06700768687843797,0.7848 ± 0.0670,0.9703429101019463,0.009438749531944481,0.9703 ± 0.0094,0.9868483251214789,0.0041528578406135235,0.9868 ± 0.0042,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000,1.469879518072289,2.220446049250313e-16,1.4699 ± 0.0000
