feature_name,importance,feature_type
LabuteASA,0.04257485147380608,descriptor
HeavyAtomCount,0.040652601522464624,descriptor
MolWt,0.0399648541903646,descriptor
VSA_EState2,0.039842043226769076,descriptor
fp_1060,0.03784192462008718,fp
NumValenceElectrons,0.03648757983082319,descriptor
NumHAcceptors,0.03134960183872305,descriptor
fp_1968,0.030340758283347417,fp
fp_1452,0.028989262752728295,fp
SlogP_VSA2,0.028123916430464673,descriptor
FractionCSP3,0.02758801158872609,descriptor
TPSA,0.02531732680680735,descriptor
NumAliphaticRings,0.024172977418941265,descriptor
fp_1572,0.02282368243515657,fp
SlogP_VSA1,0.02133037970824502,descriptor
fp_1928,0.02079821819859429,fp
VSA_EState1,0.01907734936556867,descriptor
MolLogP,0.016923182680747214,descriptor
RingCount,0.016734138997280438,descriptor
NumAromaticRings,0.015373603263104267,descriptor
fp_926,0.0146687345257075,fp
fp_407,0.013868355962551081,fp
fp_932,0.013661653447846261,fp
fp_1765,0.012777736275099438,fp
fp_1199,0.011228834968261691,fp
fp_1028,0.010980165346662992,fp
fp_1357,0.010858738629369933,fp
fp_699,0.01026995164145568,fp
SMR_VSA1,0.010099863476523962,descriptor
NumHDonors,0.009015610899953655,descriptor
fp_1754,0.008763853349485273,fp
fp_1480,0.008609468938420335,fp
NumRotatableBonds,0.007858272851873389,descriptor
fp_935,0.007322676988470014,fp
EState_VSA1,0.007183341135256875,descriptor
fp_389,0.007106572911338781,fp
fp_1162,0.006851662201709828,fp
fp_1457,0.00679088174037146,fp
fp_1088,0.006531118443695671,fp
fp_314,0.0061934568022554435,fp
fp_1771,0.006060274829966543,fp
fp_378,0.0058615549518113005,fp
fp_1575,0.005788809981661392,fp
fp_1066,0.005748154625438425,fp
fp_1171,0.005565952035035345,fp
fp_1708,0.00454052941867954,fp
fp_352,0.004476113085335032,fp
fp_1905,0.004354393930563478,fp
fp_1168,0.004321187750495516,fp
fp_1019,0.004315637098283678,fp
fp_807,0.004307634560743356,fp
fp_1840,0.004229245935568509,fp
fp_784,0.004077116185780907,fp
fp_1661,0.003967689069973894,fp
fp_1722,0.003944509606823341,fp
SMR_VSA2,0.003861303367705115,descriptor
fp_1573,0.0038128055427416613,fp
fp_1265,0.0036366709827275598,fp
fp_1866,0.0036157749246262844,fp
fp_561,0.0035769909362600616,fp
fp_283,0.0035636184438788965,fp
fp_392,0.003518286659977923,fp
fp_1160,0.0034867818545482416,fp
fp_1054,0.0033834430080577653,fp
fp_1,0.0033438493350382774,fp
fp_984,0.0033086855324630606,fp
fp_1540,0.003220983005406326,fp
fp_680,0.0032179952924896358,fp
fp_1152,0.003141266093537622,fp
fp_1917,0.0031074781310879334,fp
fp_216,0.003078857644585141,fp
fp_446,0.0030282090081940943,fp
fp_635,0.002943335396523641,fp
fp_160,0.0029115726045098014,fp
fp_1589,0.0028055818827945065,fp
fp_1832,0.0027589676766795555,fp
fp_80,0.0026971031381089893,fp
fp_650,0.002657119757195147,fp
fp_1683,0.002571557045809604,fp
fp_1737,0.0025578989172344207,fp
fp_1791,0.0025529466451629144,fp
fp_1325,0.002538827588688252,fp
fp_1114,0.002501073548235882,fp
fp_1232,0.0024798218324959395,fp
fp_350,0.002478578809045085,fp
fp_875,0.0024027345208672514,fp
fp_1043,0.002336258422196799,fp
fp_1476,0.0022741381591813866,fp
fp_674,0.002250023023976711,fp
fp_448,0.002109013422322332,fp
fp_2009,0.00209638052227697,fp
fp_1634,0.002057737642514457,fp
fp_1032,0.0019332277662090316,fp
fp_323,0.0019307036871249298,fp
fp_255,0.0019242939955736844,fp
fp_739,0.0019234380605013671,fp
fp_694,0.0019101798045330265,fp
fp_1039,0.001836041886846634,fp
fp_1097,0.0017984148232589015,fp
fp_34,0.0017446997417271861,fp
fp_992,0.00169602309195596,fp
fp_656,0.001686717296552075,fp
fp_247,0.001662203991030246,fp
fp_747,0.0016280120917045364,fp
fp_1106,0.0016061234198724392,fp
fp_1499,0.0015951270513843,fp
fp_1750,0.0015725660388690294,fp
fp_724,0.0015327826547256646,fp
fp_695,0.0015263919503694739,fp
fp_806,0.0015186660713151718,fp
fp_1747,0.0014695574624489201,fp
fp_708,0.0014426236437315267,fp
fp_114,0.001412118723369052,fp
fp_1145,0.0013711207192179653,fp
fp_1646,0.0013612082443176018,fp
fp_1164,0.001340009629698826,fp
fp_591,0.0012961035291638363,fp
fp_1626,0.0012945257410301107,fp
fp_310,0.0012216862106242436,fp
fp_841,0.0012013724561029707,fp
fp_29,0.0011897380887944259,fp
fp_13,0.0011888393728618305,fp
fp_1970,0.001073574871018573,fp
fp_1862,0.0009978204949729905,fp
fp_710,0.0009673519057376003,fp
fp_718,0.0009413103869169506,fp
fp_1057,0.000882775108059741,fp
fp_361,0.0008735189573879663,fp
fp_1855,0.000856436414294399,fp
fp_1539,0.0008223279830382215,fp
fp_1236,0.0007887974300524272,fp
fp_1409,0.0006487833712080783,fp
fp_1998,0.0006377892614601931,fp
fp_1050,0.0006207769001117173,fp
fp_1065,0.000603087449276361,fp
fp_1405,0.0005821167381078895,fp
fp_322,0.0005578003929797747,fp
fp_933,0.0005419883757303719,fp
fp_1107,0.0005332221382659227,fp
fp_1649,0.0005167281942475104,fp
fp_1748,0.00047370530161233303,fp
fp_1422,0.0004060276360485628,fp
fp_118,0.0004059059574540325,fp
fp_1758,0.0003900728835996233,fp
fp_94,0.00035230329859775003,fp
fp_1524,0.00017388174452504196,fp
fp_1487,0.00016827446603086407,fp
fp_90,0.0001671299865815801,fp
fp_1670,0.000166253820849113,fp
fp_45,0.00013808532924575393,fp
fp_227,0.00011942550974567986,fp
fp_1945,0.00011681731980571503,fp
fp_1602,0.00010208669696389533,fp
fp_1296,8.074434704919079e-05,fp
fp_1212,4.691193776407437e-05,fp
fp_1640,3.602424828952256e-05,fp
fp_1410,5.937343691631684e-06,fp
