feature_name,importance,feature_type
fp_1572,0.09658242762088776,fp
NumHAcceptors,0.09486021101474762,descriptor
fp_1832,0.07856385409832001,fp
fp_1968,0.0743870660662651,fp
fp_1661,0.046136725693941116,fp
fp_314,0.03124503418803215,fp
fp_1452,0.031127076596021652,fp
fp_1060,0.027660630643367767,fp
NumAromaticRings,0.02389146015048027,descriptor
fp_806,0.022413095459342003,fp
fp_699,0.02112792804837227,fp
fp_446,0.01956731639802456,fp
HeavyAtomCount,0.018105871975421906,descriptor
fp_1199,0.0170939601957798,fp
fp_216,0.016090407967567444,fp
fp_283,0.015425176359713078,fp
NumAliphaticRings,0.013340098783373833,descriptor
fp_875,0.012090347707271576,fp
fp_1928,0.010589880868792534,fp
fp_992,0.010382083244621754,fp
fp_378,0.010009399615228176,fp
fp_926,0.009430940262973309,fp
fp_1066,0.009127899073064327,fp
fp_1840,0.008885910734534264,fp
fp_1575,0.008814574219286442,fp
fp_389,0.007612340617924929,fp
fp_1232,0.007595262490212917,fp
fp_1265,0.007099662441760302,fp
fp_674,0.0070654586888849735,fp
fp_1171,0.006685380823910236,fp
NumRotatableBonds,0.006562513764947653,descriptor
fp_255,0.006413956638425589,fp
EState_VSA1,0.006386423017829657,descriptor
fp_984,0.006279116962105036,fp
fp_1589,0.005914489272981882,fp
fp_561,0.005784406792372465,fp
FractionCSP3,0.005651312414556742,descriptor
fp_1754,0.005477926693856716,fp
fp_1866,0.005461873020976782,fp
LabuteASA,0.005400432273745537,descriptor
fp_1917,0.005121258087456226,fp
NumHDonors,0.005106785800307989,descriptor
fp_932,0.005098671652376652,fp
fp_352,0.005014797206968069,fp
fp_1054,0.004927769768983126,fp
fp_1088,0.004915466997772455,fp
fp_1771,0.004554449580609798,fp
SMR_VSA2,0.004537537693977356,descriptor
fp_650,0.004497652407735586,fp
RingCount,0.004297270439565182,descriptor
fp_784,0.004278879147022963,fp
MolLogP,0.004069988150149584,descriptor
fp_694,0.004050195217132568,fp
fp_1765,0.0040293806232512,fp
fp_1480,0.004007435403764248,fp
fp_935,0.0038485194090753794,fp
fp_680,0.0036495355889201164,fp
VSA_EState2,0.0034761247225105762,descriptor
fp_1457,0.0033993979450315237,fp
fp_1168,0.0033626144286245108,fp
fp_1162,0.003349734703078866,fp
fp_1,0.003287896979600191,fp
TPSA,0.003281722543761134,descriptor
fp_247,0.003058292670175433,fp
MolWt,0.0030015497468411922,descriptor
fp_1722,0.0029944139532744884,fp
fp_1236,0.0029132235795259476,fp
fp_1019,0.0028917298186570406,fp
SlogP_VSA1,0.002816831925883889,descriptor
fp_591,0.002782127121463418,fp
NumValenceElectrons,0.0027226635720580816,descriptor
fp_448,0.0027199680916965008,fp
fp_807,0.002699062926694751,fp
fp_1152,0.002461934695020318,fp
fp_1634,0.002411865396425128,fp
fp_361,0.0023151536006480455,fp
fp_1160,0.0022156881168484688,fp
fp_392,0.002179945120587945,fp
SMR_VSA1,0.002166544320061803,descriptor
fp_1097,0.002161470940336585,fp
fp_695,0.0021592534612864256,fp
fp_2009,0.0021394763607531786,fp
fp_1737,0.0021335661876946688,fp
fp_1747,0.0020642431918531656,fp
VSA_EState1,0.001933781779371202,descriptor
fp_1114,0.0018938526045531034,fp
fp_114,0.0018699956126511097,fp
fp_1970,0.001769455848261714,fp
fp_1357,0.0017252361867576838,fp
SlogP_VSA2,0.001690044067800045,descriptor
fp_1791,0.0015537987928837538,fp
fp_739,0.001419935142621398,fp
fp_1862,0.0012627828400582075,fp
fp_1164,0.0012579509057104588,fp
fp_1145,0.0012270297156646848,fp
fp_1032,0.001186047913506627,fp
fp_1325,0.001105065573938191,fp
fp_1028,0.001085083233192563,fp
fp_1540,0.0010473061120137572,fp
fp_747,0.001039747497998178,fp
fp_1057,0.0010063782101497054,fp
fp_718,0.00100015162024647,fp
fp_724,0.0009275450720451772,fp
fp_94,0.0008982723811641335,fp
fp_1476,0.0005187347996979952,fp
fp_80,0.0004594481142703444,fp
fp_407,0.0003404617600608617,fp
fp_1683,0.0002698575844988227,fp
fp_45,0.0,fp
fp_118,0.0,fp
fp_90,0.0,fp
fp_160,0.0,fp
fp_1573,0.0,fp
fp_1640,0.0,fp
fp_1646,0.0,fp
fp_1602,0.0,fp
fp_1626,0.0,fp
fp_1670,0.0,fp
fp_1649,0.0,fp
fp_1708,0.0,fp
fp_1487,0.0,fp
fp_1499,0.0,fp
fp_1524,0.0,fp
fp_1539,0.0,fp
fp_34,0.0,fp
fp_1748,0.0,fp
fp_1750,0.0,fp
fp_1296,0.0,fp
fp_1758,0.0,fp
fp_1409,0.0,fp
fp_1410,0.0,fp
fp_1422,0.0,fp
fp_1405,0.0,fp
fp_1106,0.0,fp
fp_1107,0.0,fp
fp_1855,0.0,fp
fp_1905,0.0,fp
fp_1039,0.0,fp
fp_1043,0.0,fp
fp_1050,0.0,fp
fp_1212,0.0,fp
fp_1065,0.0,fp
fp_933,0.0,fp
fp_708,0.0,fp
fp_841,0.0,fp
fp_1945,0.0,fp
fp_1998,0.0,fp
fp_635,0.0,fp
fp_710,0.0,fp
fp_656,0.0,fp
fp_323,0.0,fp
fp_350,0.0,fp
fp_227,0.0,fp
fp_310,0.0,fp
fp_322,0.0,fp
fp_29,0.0,fp
fp_13,0.0,fp
