feature_name,importance,feature_type
fp_1060,0.09125070657244726,fp
fp_266,0.09106928420225037,fp
fp_1535,0.06408461991823003,fp
fp_1968,0.05792156859439805,fp
fp_1033,0.04612660023230127,fp
fp_1765,0.038100647317839145,fp
fp_1452,0.03179941181553648,fp
fp_1928,0.028133744280254426,fp
fp_1028,0.023517127483546466,fp
fp_407,0.022867236443645755,fp
fp_926,0.020456397927943883,fp
fp_932,0.01800332113758951,fp
fp_1480,0.016914773007069887,fp
RingCount,0.01655900987483163,descriptor
NumHAcceptors,0.013261993308029406,descriptor
fp_1357,0.012555986813093228,fp
fp_1059,0.012511225951486021,fp
fp_1160,0.012319391554416595,fp
fp_1754,0.012137079829354995,fp
LabuteASA,0.011336192173019071,descriptor
fp_699,0.010948653982510508,fp
fp_1199,0.010878405898631226,fp
fp_314,0.010707186561887438,fp
fp_935,0.010569743243142617,fp
NumValenceElectrons,0.010077425700976184,descriptor
fp_1575,0.009600473701123656,fp
SlogP_VSA1,0.009188089041416657,descriptor
MolWt,0.009074285165173654,descriptor
HeavyAtomCount,0.008659546577407189,descriptor
fp_1661,0.00857304038742449,fp
NumAromaticRings,0.008377780268808765,descriptor
fp_1457,0.008303936855841245,fp
fp_1171,0.008143348054331648,fp
fp_389,0.008033112225918293,fp
FractionCSP3,0.007784035873417916,descriptor
fp_378,0.007283012382829208,fp
TPSA,0.007171149043517954,descriptor
VSA_EState2,0.007101291485382733,descriptor
fp_352,0.006494682381138523,fp
NumAliphaticRings,0.006419323446171482,descriptor
fp_806,0.005684728148881586,fp
SlogP_VSA2,0.00563491460949324,descriptor
fp_1066,0.005582625305304116,fp
fp_1152,0.0049702109140206405,fp
fp_1054,0.004670168945778283,fp
fp_680,0.00462687462165495,fp
fp_875,0.004395583209188451,fp
fp_216,0.004342003839701309,fp
fp_1,0.004330353391077518,fp
fp_1840,0.004316532880878805,fp
fp_1088,0.004267079482563973,fp
fp_1573,0.0040810554007032745,fp
fp_1771,0.003866882693660666,fp
fp_1039,0.003829764112998432,fp
fp_1649,0.003815656130470833,fp
fp_674,0.003597895816822425,fp
fp_29,0.0035374268452818447,fp
NumHDonors,0.0033543599516602106,descriptor
fp_1791,0.0033471333312137756,fp
fp_1019,0.0033199866211358503,fp
fp_984,0.003103472166894608,fp
SMR_VSA2,0.0030651021107593653,descriptor
fp_1683,0.003035388665526206,fp
fp_1646,0.0028327451628332927,fp
fp_13,0.002672693925711161,fp
fp_448,0.0026305199412665937,fp
fp_1832,0.0025042668511116558,fp
fp_1325,0.0024657122829505164,fp
fp_255,0.0024431769897904384,fp
fp_561,0.0023948385940090124,fp
fp_1722,0.0023717955804700972,fp
fp_784,0.0023368324242992538,fp
fp_807,0.0023301971136690807,fp
fp_656,0.0022409100178627157,fp
fp_1589,0.002229700769974013,fp
fp_1866,0.0022278065960372132,fp
fp_1634,0.0022233609808046885,fp
fp_1409,0.002210398824442444,fp
fp_323,0.002120025018293729,fp
NumRotatableBonds,0.002058920330606262,descriptor
fp_1168,0.001946649053877138,fp
fp_289,0.0019302710352992756,fp
fp_650,0.0019047328045951396,fp
fp_1737,0.0017855322649408011,fp
fp_1114,0.00175320115614499,fp
fp_1750,0.0017148003862961423,fp
fp_1917,0.001685052056951102,fp
fp_1476,0.0016206096403859505,fp
fp_283,0.0015551218644547745,fp
fp_247,0.0015269925859929148,fp
EState_VSA1,0.0014801653340586302,descriptor
SMR_VSA1,0.0014794729252576193,descriptor
fp_1499,0.0013821090715145099,fp
fp_1747,0.0013776708711016972,fp
fp_710,0.0013667632741178957,fp
fp_1998,0.0012649907967227302,fp
fp_1855,0.0012521680734809346,fp
fp_1539,0.0012315023922599934,fp
fp_1265,0.001187304568206739,fp
fp_392,0.001169933318196154,fp
fp_361,0.0011134535076276146,fp
fp_638,0.0010606922570203176,fp
VSA_EState1,0.0010593680291035293,descriptor
fp_350,0.0010438925445297538,fp
fp_80,0.0010317137046820977,fp
MolLogP,0.0009908815948652114,descriptor
fp_708,0.000961380956984957,fp
fp_1164,0.0009476966275296056,fp
fp_739,0.0008039095898030716,fp
fp_1626,0.0007594109951644905,fp
fp_724,0.0007158429287526822,fp
fp_1097,0.0007035887221231158,fp
fp_310,0.0006403828791803032,fp
fp_718,0.0006176435520706285,fp
fp_1145,0.0006025160243164473,fp
fp_1057,0.0005943985566823729,fp
fp_1970,0.0005872111022012312,fp
fp_695,0.0005847275516758372,fp
fp_1157,0.0005405894524737483,fp
fp_1107,0.000540522395985105,fp
fp_1536,0.000495574305579039,fp
fp_841,0.0004231928060906455,fp
fp_780,0.00039589578974520625,fp
fp_2009,0.0003746475779981776,fp
fp_227,0.00036934205511034027,fp
fp_1994,0.00030678653109606716,fp
fp_322,0.000287666685352508,fp
fp_114,0.0002849946929289008,fp
fp_1640,0.0002474569700139885,fp
fp_1862,0.00024071526095189303,fp
fp_1050,0.00022423601072215347,fp
fp_1453,0.00020043024418249392,fp
fp_1034,9.673425723138773e-05,fp
fp_1670,9.431382142881698e-05,fp
fp_90,3.3104545880262786e-05,fp
fp_1971,1.980745626519273e-05,fp
fp_618,3.1710123038687243e-06,fp
fp_1524,3.122216354386135e-06,fp
fp_94,0.0,fp
fp_118,0.0,fp
fp_1602,0.0,fp
fp_1410,0.0,fp
fp_1487,0.0,fp
fp_1758,0.0,fp
fp_1405,0.0,fp
fp_1945,0.0,fp
fp_1084,0.0,fp
fp_1065,0.0,fp
fp_933,0.0,fp
