model,selection_rule,selected_threshold,youden_j_threshold,youden_j_value,youden_j_f1,youden_j_mcc,max_f1_threshold,max_f1_value,max_f1_mcc,selected_f1,selected_mcc,n_oof
LR,max_f1,0.22848407910550522,0.7326146785785518,0.7480889980889981,0.9096573208722741,0.7143660574810369,0.22848407910550522,0.9255014326647565,0.7152685202982193,0.9255014326647565,0.7152685202982193,465
RFC,max_f1,0.524,0.524,0.8445945945945945,0.9464012251148545,0.8220502953130248,0.524,0.9464012251148545,0.8220502953130248,0.9464012251148545,0.8220502953130248,465
SVC,max_f1,0.5185743076399071,0.6847828783512843,0.8554463554463555,0.9389671361502347,0.8130974280479103,0.5185743076399071,0.9438543247344462,0.8079124624264559,0.9438543247344462,0.8079124624264559,465
XGBC,max_f1,0.6161571741104126,0.9391794204711914,0.7444717444717445,0.8672268907563025,0.6767973304616473,0.6161571741104126,0.9265367316341828,0.7402368280108769,0.9265367316341828,0.7402368280108769,465
ETC,max_f1,0.44950100966146606,0.7251586850649352,0.8524433524433525,0.9373040752351096,0.8090301370307691,0.44950100966146606,0.9445277361319341,0.8038557403156653,0.9445277361319341,0.8038557403156653,465
MLP,max_f1,0.17939068377017975,0.9132300615310669,0.7979797979797979,0.923556942277691,0.7608092682786678,0.17939068377017975,0.9428989751098097,0.7888317038748288,0.9428989751098097,0.7888317038748288,465
