fold,model,split,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,ef1,ef5
1,LR,val,0.9,0.8947368421052632,0.9444444444444444,0.918918918918919,0.790695492614867,0.9861111111111112,0.9920634920634923,1.6666666666666667,1.6666666666666667
1,LR,train,0.9425287356321839,0.9707792207792207,0.9492063492063492,0.9598715890850722,0.8593748457523693,0.9884126984126984,0.9958120588541473,1.380952380952381,1.380952380952381
1,RFC,val,0.9,0.8571428571428571,1.0,0.9230769230769231,0.8017837257372731,0.9583333333333334,0.969910833204177,1.6666666666666667,1.6666666666666667
1,RFC,train,0.9655172413793104,0.9838709677419355,0.9682539682539683,0.976,0.9151586534492819,0.9955820105820106,0.9984032652173832,1.380952380952381,1.380952380952381
1,SVC,val,0.8666666666666667,0.8181818181818182,1.0,0.9,0.7385489458759964,0.9953703703703703,0.997076023391813,1.6666666666666667,1.6666666666666667
1,SVC,train,0.9540229885057471,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.8849206349206349,0.9930952380952381,0.9975709465311791,1.380952380952381,1.380952380952381
1,XGBC,val,0.9,0.8571428571428571,1.0,0.9230769230769231,0.8017837257372731,0.9814814814814815,0.9889770723104059,1.6666666666666667,1.6666666666666667
1,XGBC,train,0.9885057471264368,0.9967948717948718,0.9873015873015873,0.9920255183413078,0.9715936234984397,0.9997089947089949,0.999889514059702,1.380952380952381,1.380952380952381
1,ETC,val,0.8666666666666667,0.8181818181818182,1.0,0.9,0.7385489458759964,0.9907407407407407,0.9944444444444447,1.6666666666666667,1.6666666666666667
1,ETC,train,0.9655172413793104,0.9838709677419355,0.9682539682539683,0.976,0.9151586534492819,0.9967592592592592,0.9988070098646984,1.380952380952381,1.380952380952381
1,MLP,val,0.9333333333333333,0.9,1.0,0.9473684210526315,0.8660254037844386,0.9861111111111112,0.9913580246913583,1.6666666666666667,1.6666666666666667
1,MLP,train,0.993103448275862,0.9936708860759493,0.9968253968253968,0.9952456418383518,0.9827098075766698,0.9998941798941798,0.9999598785327332,1.380952380952381,1.380952380952381
2,LR,val,0.8382352941176471,0.8846153846153846,0.7419354838709677,0.8070175438596491,0.6772923612413699,0.8448125544899739,0.8923424617121747,2.193548387096774,2.193548387096774
2,LR,train,0.9899244332493703,0.9933774834437086,0.9933774834437086,0.9933774834437086,0.9723248518647613,0.9997908678982224,0.9999347533555417,1.3145695364238412,1.3145695364238412
2,RFC,val,0.8529411764705882,0.8888888888888888,0.7741935483870968,0.8275862068965517,0.7055237033812368,0.90409764603313,0.9224391550741282,2.193548387096774,2.193548387096774
2,RFC,train,0.964735516372796,0.98,0.9735099337748344,0.9767441860465116,0.9039161563541259,0.9952248170094109,0.9985732084639761,1.3145695364238412,1.3145695364238412
2,SVC,val,0.8823529411764706,0.9259259259259259,0.8064516129032258,0.8620689655172413,0.7658703849283112,0.8953792502179598,0.9223881554526715,2.193548387096774,2.193548387096774
2,SVC,train,0.9596977329974811,0.9673202614379085,0.9801324503311258,0.9736842105263158,0.8880287737862864,0.9934123387940048,0.998066081581766,1.3145695364238412,1.3145695364238412
2,XGBC,val,0.8823529411764706,0.96,0.7741935483870968,0.8571428571428571,0.7717824183113352,0.9171752397558849,0.930934755205583,2.193548387096774,2.193548387096774
2,XGBC,train,0.9924433249370277,0.9933993399339934,0.9966887417218543,0.9950413223140496,0.9791920956977853,0.9996688741721855,0.9998902003053652,1.3145695364238412,1.3145695364238412
2,ETC,val,0.8970588235294118,0.9615384615384616,0.8064516129032258,0.8771929824561403,0.7988118350261012,0.904969485614647,0.9269586954264373,2.193548387096774,2.193548387096774
2,ETC,train,0.964735516372796,0.9768211920529801,0.9768211920529801,0.9768211920529801,0.9031369815266643,0.9961833391425584,0.99884262414042,1.3145695364238412,1.3145695364238412
2,MLP,val,0.8676470588235294,0.9583333333333334,0.7419354838709677,0.8363636363636363,0.7450753308797949,0.9206625980819529,0.9380516278937728,2.193548387096774,2.193548387096774
