model,selection_rule,selected_threshold,youden_j_threshold,youden_j_value,youden_j_f1,youden_j_mcc,max_f1_threshold,max_f1_value,max_f1_mcc,selected_f1,selected_mcc,n_oof
LR,max_f1,0.5208756569972591,0.9841416594872129,0.756074256074256,0.8935483870967741,0.7013302697368653,0.5208756569972591,0.9201183431952664,0.7087292846011305,0.9201183431952664,0.7087292846011305,465
RFC,max_f1,0.5463256504225547,0.6433333333333333,0.875034125034125,0.9470404984423676,0.8355886527656576,0.5463256504225547,0.9526717557251908,0.8414082013668782,0.9526717557251908,0.8414082013668782,465
SVC,max_f1,0.6079658470321764,0.7559748828480437,0.8415915915915916,0.9447852760736196,0.8175958920129193,0.6079658470321764,0.9502262443438914,0.8267422316500027,0.9502262443438914,0.8267422316500027,465
XGBC,max_f1,0.8201812505722046,0.8395152688026428,0.8916188916188916,0.9534161490683231,0.8541768346777768,0.8201812505722046,0.9553158705701078,0.8555578697236141,0.9553158705701078,0.8555578697236141,465
ETC,max_f1,0.5195655871905874,0.6542041145129379,0.8794703794703795,0.9520865533230294,0.8467924977604743,0.5195655871905874,0.9558599695585998,0.8506266048776907,0.9558599695585998,0.8506266048776907,465
MLP,max_f1,0.8974560499191284,0.999349057674408,0.8587223587223587,0.9297124600638978,0.8019805202300376,0.8974560499191284,0.9451219512195121,0.8149289811886207,0.9451219512195121,0.8149289811886207,465
