model,metric,mean,std,mean_std
LR,accuracy,0.8869065048790921,0.03311119247248043,0.8869 ± 0.0331
LR,precision,0.8981870908017788,0.00869229446177763,0.8982 ± 0.0087
LR,recall,0.9009611065695033,0.0812878082534162,0.9010 ± 0.0813
LR,f1,0.8978804009740127,0.04599116175106106,0.8979 ± 0.0460
LR,mcc,0.6929314532395769,0.11945007365698242,0.6929 ± 0.1195
LR,roc_auc,0.9367060763362701,0.05054080720161882,0.9367 ± 0.0505
LR,pr_auc,0.9617905270008883,0.03722395433170875,0.9618 ± 0.0372
LR,ef1,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
LR,ef5,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
RFC,accuracy,0.9114674854937561,0.034675530554491456,0.9115 ± 0.0347
RFC,precision,0.9157505318018337,0.043399447086367296,0.9158 ± 0.0434
RFC,recall,0.9185238305838401,0.07771107945623427,0.9185 ± 0.0777
RFC,f1,0.9152061731372075,0.048548365869975664,0.9152 ± 0.0485
RFC,mcc,0.7881978229214854,0.06264635348071605,0.7882 ± 0.0626
RFC,roc_auc,0.9597058545110914,0.030593847231923314,0.9597 ± 0.0306
RFC,pr_auc,0.974224432977673,0.027423074584280414,0.9742 ± 0.0274
RFC,ef1,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
RFC,ef5,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
SVC,accuracy,0.9128602826832409,0.04060348359338479,0.9129 ± 0.0406
SVC,precision,0.9253710232688123,0.06508997787593047,0.9254 ± 0.0651
SVC,recall,0.9298534922675538,0.06851569177133067,0.9299 ± 0.0685
SVC,f1,0.9241889427370371,0.0388466899609434,0.9242 ± 0.0388
SVC,mcc,0.7847490289415525,0.09784341047278287,0.7847 ± 0.0978
SVC,roc_auc,0.9538116718883979,0.0389289571924302,0.9538 ± 0.0389
SVC,pr_auc,0.9757608010289275,0.027410801303568107,0.9758 ± 0.0274
SVC,ef1,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
SVC,ef5,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
XGBC,accuracy,0.9156434542042765,0.038409411770942384,0.9156 ± 0.0384
XGBC,precision,0.9395131098045446,0.05417847413528222,0.9395 ± 0.0542
XGBC,recall,0.9185238305838401,0.07771107945623427,0.9185 ± 0.0777
XGBC,f1,0.9252999873689529,0.03862883981943215,0.9253 ± 0.0386
XGBC,mcc,0.7862209446820152,0.11588420680354242,0.7862 ± 0.1159
XGBC,roc_auc,0.9671934150162738,0.027764316726675592,0.9672 ± 0.0278
XGBC,pr_auc,0.9811944225678433,0.02541774195052259,0.9812 ± 0.0254
XGBC,ef1,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
XGBC,ef5,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
ETC,accuracy,0.9186090075924456,0.03865347578273249,0.9186 ± 0.0387
ETC,precision,0.9394961794961796,0.06550189943722065,0.9395 ± 0.0655
ETC,recall,0.924975443487066,0.06590279876129673,0.9250 ± 0.0659
ETC,f1,0.9285474452601641,0.0350944631566745,0.9285 ± 0.0351
ETC,mcc,0.8043172458958022,0.08569290782838537,0.8043 ± 0.0857
ETC,roc_auc,0.9638835797259888,0.03387937865960827,0.9639 ± 0.0339
ETC,pr_auc,0.9792412660576636,0.026360838495785473,0.9792 ± 0.0264
ETC,ef1,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
ETC,ef5,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
MLP,accuracy,0.9098451348765455,0.03206797486600116,0.9098 ± 0.0321
MLP,precision,0.9254267722598032,0.02916720398711005,0.9254 ± 0.0292
MLP,recall,0.9120722176806144,0.08982110736546782,0.9121 ± 0.0898
MLP,f1,0.9153059621687886,0.04338932601248623,0.9153 ± 0.0434
MLP,mcc,0.7663168075965944,0.10409360930136581,0.7663 ± 0.1041
MLP,roc_auc,0.9647204875496993,0.025118590823313653,0.9647 ± 0.0251
MLP,pr_auc,0.977642888579337,0.02093380540154497,0.9776 ± 0.0209
MLP,ef1,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
MLP,ef5,1.8651473397017369,0.6687371692109241,1.8651 ± 0.6687
