feature_name,importance,feature_type
HeavyAtomCount,0.5502777099609375,descriptor
fp_1199,0.1271890252828598,fp
fp_266,0.10865403711795807,fp
fp_935,0.026823360472917557,fp
fp_1968,0.02512776106595993,fp
fp_984,0.014608929865062237,fp
fp_1060,0.0143178915604949,fp
fp_926,0.013619111850857735,fp
fp_1452,0.008792280219495296,fp
fp_1171,0.007321399636566639,fp
fp_650,0.006345085334032774,fp
NumAliphaticRings,0.006141692399978638,descriptor
fp_1054,0.006065672263503075,fp
fp_784,0.005226180888712406,fp
fp_1722,0.0052232337184250355,fp
FractionCSP3,0.004839136730879545,descriptor
fp_1589,0.004066572058945894,fp
fp_1575,0.0037726261653006077,fp
fp_1160,0.0037146052345633507,fp
fp_561,0.003644382581114769,fp
LabuteASA,0.003573023248463869,descriptor
fp_389,0.003448731964454055,fp
fp_1019,0.0030928237829357386,fp
NumHDonors,0.0029572213534265757,descriptor
fp_739,0.0026990852784365416,fp
fp_932,0.002626934088766575,fp
fp_216,0.0024535388220101595,fp
VSA_EState2,0.0023957868106663227,descriptor
fp_1771,0.0023718050215393305,fp
fp_1928,0.0021410242188721895,fp
fp_1998,0.002034794306382537,fp
fp_807,0.0018375524086877704,fp
SMR_VSA1,0.0017908297013491392,descriptor
fp_352,0.0014125483576208353,fp
fp_1453,0.001303516561165452,fp
MolWt,0.0012930064694955945,descriptor
fp_1164,0.001218466553837061,fp
MolLogP,0.0012086633360013366,descriptor
fp_1737,0.0011885465355589986,fp
SlogP_VSA1,0.0011753749568015337,descriptor
VSA_EState1,0.001019120216369629,descriptor
TPSA,0.0009886922780424356,descriptor
fp_1754,0.0009818722028285265,fp
fp_1480,0.0008569332421757281,fp
SlogP_VSA2,0.0008080648258328438,descriptor
NumValenceElectrons,0.0007630683830939233,descriptor
fp_1265,0.0006752231856808066,fp
EState_VSA1,0.0006488816579803824,descriptor
fp_114,0.0005901934928260744,fp
fp_1145,0.0005779072525911033,fp
fp_392,0.0005677593289874494,fp
fp_1157,0.0005602280143648386,fp
fp_247,0.0005296141025610268,fp
fp_80,0.00045119517017155886,fp
fp_1168,0.0004267640761099756,fp
fp_323,0.00036080306745134294,fp
fp_314,0.0002933655632659793,fp
fp_1791,0.00027529013459570706,fp
fp_875,0.0002733638684730977,fp
fp_361,0.0002345642278669402,fp
fp_1683,0.00012317521031945944,fp
fp_289,0.0,fp
fp_310,0.0,fp
fp_680,0.0,fp
fp_695,0.0,fp
fp_699,0.0,fp
fp_708,0.0,fp
fp_1945,0.0,fp
fp_1970,0.0,fp
NumAromaticRings,0.0,descriptor
RingCount,0.0,descriptor
fp_29,0.0,fp
fp_1050,0.0,fp
fp_1057,0.0,fp
fp_1059,0.0,fp
fp_1065,0.0,fp
fp_1066,0.0,fp
fp_1084,0.0,fp
fp_1088,0.0,fp
fp_1097,0.0,fp
fp_1107,0.0,fp
fp_1114,0.0,fp
fp_1152,0.0,fp
fp_407,0.0,fp
fp_448,0.0,fp
fp_618,0.0,fp
fp_638,0.0,fp
fp_656,0.0,fp
fp_674,0.0,fp
fp_1325,0.0,fp
fp_1357,0.0,fp
fp_1405,0.0,fp
fp_1409,0.0,fp
fp_1410,0.0,fp
fp_1457,0.0,fp
fp_1476,0.0,fp
fp_1487,0.0,fp
fp_1499,0.0,fp
fp_1524,0.0,fp
fp_1535,0.0,fp
fp_1536,0.0,fp
fp_1539,0.0,fp
fp_1573,0.0,fp
fp_1602,0.0,fp
fp_1626,0.0,fp
fp_1634,0.0,fp
fp_1640,0.0,fp
fp_710,0.0,fp
fp_718,0.0,fp
fp_724,0.0,fp
fp_933,0.0,fp
fp_1028,0.0,fp
fp_1033,0.0,fp
fp_1034,0.0,fp
fp_1039,0.0,fp
fp_1646,0.0,fp
fp_1649,0.0,fp
fp_1661,0.0,fp
fp_1670,0.0,fp
fp_1747,0.0,fp
fp_1750,0.0,fp
fp_1758,0.0,fp
fp_1765,0.0,fp
fp_322,0.0,fp
fp_350,0.0,fp
fp_378,0.0,fp
fp_1832,0.0,fp
fp_1840,0.0,fp
fp_1855,0.0,fp
fp_1862,0.0,fp
fp_1866,0.0,fp
fp_1917,0.0,fp
fp_283,0.0,fp
fp_1971,0.0,fp
fp_1994,0.0,fp
NumHAcceptors,0.0,descriptor
NumRotatableBonds,0.0,descriptor
fp_780,0.0,fp
fp_806,0.0,fp
fp_841,0.0,fp
fp_13,0.0,fp
fp_90,0.0,fp
fp_94,0.0,fp
fp_2009,0.0,fp
fp_227,0.0,fp
fp_255,0.0,fp
fp_1,0.0,fp
SMR_VSA2,0.0,descriptor
fp_118,0.0,fp
